;District RUS;Region RUS;Район RUS;City RUS;ШИРОТА google;ДОЛГОТА google;Актуален М;Актуален В;Актуален Е;;
1333;СФО;Республика Алтай;Майминский;Горно-Алтайск;51.966;85.966;0;1;1;2;1
1419;ПФО;Удмуртская Республика;Граховский;Грахово;56.66;51.966;0;0;1;1;1
1426;СФО;Чеченская Республика;Грозненский;Грозный;43.35;45.683;0;1;1;2;1
1452;ДФО;Амурская область;Зейский;Дамбуки;54.35;127.633;0;0;1;1;1
1463;ЮФО;Волгоградская область;Даниловский;Даниловка;50.366;44.116;0;0;1;1;1
1507;ДФО;Республика Саха (Якутия);Усть-Янский;Депутатский;69.310716;139.981213;0;1;1;2;1
1518;СФО;Красноярский край;Дзержинский;Дзержинское;56.85;95.216;0;0;1;1;1
1525;СФО;Красноярский край;Диксонский;Диксон;73.5;80.5;0;1;1;2;1
1534;СФО;Новосибирская область;Доволенский;Довольное;54.5;79.666;0;1;0;1;1
1535;СФО;Красноярский край;Абанский;Долгий Мост;56.75;96.8;0;0;1;1;1
1589;СФО;Томская область;Верхнекетский;Дружный;58.716;86.1;0;1;0;1;1
1620;ЮФО;Ростовская область;Дубовский;Дубовское;47.416;42.766;0;1;0;1;1
1680;СФО;Красноярский край;Дудинский;Дудинка;69.416;86.25;0;1;1;2;1
1691;ДФО;Приморский край;Тернейский;Единка;47.15;138.716;0;1;1;2;1
1692;ЮФО;Краснодарский край;Ейский;Ейск;46.7;38.266;0;1;1;2;1
1693;УФО;Свердловская область;Сысертский;Екатеринбург;56.833;60.633;1;1;1;3;1
1697;ПФО;Республика Марий Эл;Горномарийский;Еласы;56.166;46.466;0;0;1;1;1
1727;СФО;Алтайский край;Ельцовский;Ельцовка;53.25;86.25;0;1;1;2;1
1736;СФО;Красноярский край;Енисейский;Енисейск;58.45;92.15;0;1;1;2;1
1738;СФО;Иркутская область;Катангский;Ербогачен;61.266;108.16;0;0;1;1;1
1781;СФО;Иркутская область;#Н/Д;Железногорск-Илимский ;56.583333;104.116667;0;0;1;1;1
1793;СФО;Иркутская область;Жигаловский;Жигалово;54.8;105.216;0;1;1;2;1
1798;ДФО;Республика Саха (Якутия);Жиганский;Жиганск;66.766;123.4;0;1;0;1;1
1825;ЮФО;Ростовская область;Заветинский;Заветное;47.116;43.933;0;1;0;1;1
1842;СФО;Красноярский край;Рыбинский;Заозерный;55.966;94.7;0;0;1;1;1
1915;СКФО;Ставропольский край;Нефтекумский;Затеречный;44.833;45.216;0;0;1;1;1
1931;СФО;Новосибирская область;Здвинский;Здвинск;54.7;78.666;0;1;0;1;1
1937;СКФО;Ставропольский край;#Н/Д;Зеленокумск ;44.407012;43.873124;0;1;0;1;1
1944;ДФО;Амурская область;Зейский;Зея;53.75;127.283;0;0;1;1;1
1945;СФО;Иркутская область;Зиминский;Зима;53.933;102.5;0;0;1;1;1
1946;ЮФО;Волгоградская область;Серафимовичский;Зимняцкий;49.716;42.866;0;0;1;1;1
1947;ЮФО;Ростовская область;Зимовниковский;Зимовники;47.15;42.483;0;1;0;1;1
1951;ДФО;Амурская область;Селемджинский;Златоустовск;52.966;133.6;0;0;1;1;1
1953;СФО;Алтайский край;Змеиногорский;Змеиногорск;51.15;82.2;0;0;1;1;1
